id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
9981,2,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0.133333333,0.071428571,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
9982,2,1,2,42,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,22,13,0,0,0,0,0.058823529,0.333333333,0,1,0,1,0,0.264705882,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
9983,3,1,4,47,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,19,21,0,0,0,0,0.149659864,0.963963964,1,1,1,0,1,0.006802721,0,0,0,0,0,1,0,0,1,1,-1,-1,-1,1,0
9984,2,1,3,46,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,15,24,0,0,0,0,0.106382979,0.625,0,1,1,0,0,0.170212766,0,0,0,0,0,1,0,0,1,1,1,1,-1,1,0
9985,2,1,2,48,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,16,25,0,0,0,0,0.099173554,0.633333333,0,0,0,0,0,0.033057851,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,0
9986,2,1,3,52,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,28,0,0,0,0,0.018518519,0.138888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
9987,3,1,1,38,1,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,15,16,0,0,0,0,0.011764706,0.444444444,0,1,1,0,0,0.011764706,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
9988,2,1,2,33,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,17,9,0,0,0,0,0.3125,0.142857143,0,1,0,0,0,0.03125,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
9989,3,1,1,50,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,0,20,7,15,0,0,0,0.147368421,0.306122449,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-1,1,0
9990,2,1,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0.02688172,0.055555556,0,1,1,0,0,0.010752688,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
9991,3,1,3,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,23,0,0,0,0,0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
9992,3,1,2,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,18,0,0,0,0,0.016949153,0.183486239,0,1,0,1,0,0.042372881,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0
9993,3,1,2,49,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,19,23,0,0,0,0,0.142857143,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
9994,2,1,1,45,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,21,0,0,0,0,0.016129032,0.123076923,0,1,0,0,0,0.064516129,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
9995,2,1,3,58,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,16,28,6,0,0,0,0.096385542,0.144329897,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
9996,3,1,1,50,0,0,0,0,0,0,2,1,0,9,1,0,0,0,0,0,15,10,17,0,0,0,0.096774194,0.757142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,0
9997,2,1,4,59,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,19,33,0,0,0,0,0.161290323,0.275862069,0,1,0,0,0,0.129032258,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
9998,2,1,4,57,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,16,34,0,0,0,0,0.070422535,0.5,0,1,0,0,0,0.056338028,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
9999,3,1,1,49,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,15,13,13,0,0,0,0.166666667,0.428571429,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
10000,3,1,2,52,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,35,0,0,0,0,0.089622642,0.042553192,0,1,0,0,0,0.004716981,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
